mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
24.0,4,119.0,97.0,2545.0,17.0,75,3,datsun 710
29.0,4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit
23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls
22.0,4,121.0,98.0,2945.0,14.5,75,2,volvo 244dl
33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc
28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131
25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900
27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl
22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant
22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova
24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody
29.0,4,90.0,70.0,1937.0,14.2,76,2,vw rabbit
29.5,4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit
32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210
20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245
13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8
19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii
16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s
13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100
30.0,4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe
36.0,4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl
15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham
17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours
20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark
19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom
16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj
26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback
25.5,4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2
33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m
30.0,4,97.0,67.0,1985.0,16.4,77,3,subaru dl
22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810
36.1,4,98.0,66.0,1800.0,14.4,78,1,ford fiesta
32.8,4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe
36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc
19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj
20.5,6,200.0,95.0,3155.0,18.2,78,1,chevrolet malibu
25.1,4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man)
20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare
18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l
18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura
21.1,4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback
23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo
20.2,6,232.0,90.0,3265.0,18.2,79,1,amc concord dl 6
20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6
17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic
16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis
15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
31.9,4,89.0,71.0,1925.0,14.0,79,2,vw rabbit custom
35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom
27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl
27.2,4,141.0,71.0,3190.0,24.8,79,2,peugeot 504
34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon
34.5,4,105.0,70.0,2150.0,14.9,79,1,plymouth horizon tc3
41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit
32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette
37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310
28.0,4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation
26.4,4,140.0,88.0,2870.0,18.1,80,1,ford fairmont
29.8,4,134.0,90.0,2711.0,15.5,80,3,toyota corona liftback
31.3,4,120.0,75.0,2542.0,17.5,80,3,mazda 626
37.0,4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback
32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla
44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel)
33.8,4,97.0,67.0,2145.0,18.0,80,3,subaru dl
29.8,4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit
32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx
35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe
32.4,4,107.0,72.0,2290.0,17.0,80,3,honda accord
27.2,4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant
26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark
30.0,4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant
39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet
39.0,4,86.0,64.0,1875.0,16.4,81,1,plymouth champ
35.1,4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300
32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru
37.0,4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg
37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel
34.4,4,98.0,65.0,2045.0,16.2,81,1,ford escort 4w
29.9,4,98.0,65.0,2380.0,20.7,81,1,ford escort 2h
31.6,4,120.0,74.0,2635.0,18.3,81,3,mazda 626
28.1,4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel
25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl
28.0,4,112.0,88.0,2605.0,19.6,82,1,chevrolet cavalier
31.0,4,112.0,85.0,2575.0,16.2,82,1,pontiac j2000 se hatchback
24.0,4,140.0,92.0,2865.0,16.4,82,1,ford fairmont futura
36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l
37.0,4,91.0,68.0,2025.0,18.2,82,3,mazda glc custom l
31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom
38.0,4,105.0,63.0,2125.0,14.7,82,1,plymouth horizon miser
36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe
36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord
38.0,4,91.0,67.0,1965.0,15.0,82,3,honda civic
38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx
25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited
27.0,4,151.0,90.0,2950.0,17.3,82,1,chevrolet camaro
27.0,4,140.0,86.0,2790.0,15.6,82,1,ford mustang gl
31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10
