mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau
16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw)
15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
34.1,4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe
35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom
27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl
25.4,5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d
23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado
23.9,8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham
34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon
37.3,4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom
28.4,4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited
33.5,4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix
41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit
32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette
37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310
28.0,4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation
19.1,6,225.0,90.0,3381.0,18.7,80,1,dodge aspen
34.3,4,97.0,78.0,2188.0,15.8,80,2,audi 4000
32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla
44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel)
43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel)
30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d
35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe
26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark
25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet
32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru
37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel
34.1,4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4
32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx
28.1,4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel
25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima
22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century
26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl
17.6,6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon
27.0,4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door
29.0,4,135.0,84.0,2525.0,16.0,82,1,dodge aries se
36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l
31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom
36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe
36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord
34.0,4,108.0,70.0,2245.0,16.9,82,3,toyota corolla
38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx
38.0,6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l
32.0,4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt
36.0,4,135.0,84.0,2370.0,13.0,82,1,dodge charger 2.2
27.0,4,151.0,90.0,2950.0,17.3,82,1,chevrolet camaro
27.0,4,140.0,86.0,2790.0,15.6,82,1,ford mustang gl
32.0,4,135.0,84.0,2295.0,11.6,82,1,dodge rampage
28.0,4,120.0,79.0,2625.0,18.6,82,1,ford ranger
31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10
